KHID	KYID	Family_Name	Source
SI:DKEY-154P10.3	KH2013:KH.C3.877	KY2019:KY.Chr3.1090	Zinc finger	ANISEED
Crol	KH2013:KH.S437.3	KY2019:KY.Chr3.1724	Zinc finger	ANISEED
Met31/32	KH2013:KH.L53.12	KY2019:KY.Chr3.398	Zinc finger	ANISEED
Zbtb17/24/41/48/49	KH2013:KH.S534.1	KY2019:KY.Chr7.1232	Zinc finger	ANISEED
Zfp819	KH2013:KH.L40.18	KY2019:KY.Chr14.14	Zinc finger	ANISEED
Met31/32.1	KH2013:KH.L153.110	KY2019:KY.Chr6.197	Zinc finger	ANISEED
Yer130c	KH2013:KH.L87.58	KY2019:KY.Chr10.1296	Zinc finger	ANISEED
KH.L149.36	KH2013:KH.L149.36	KY2019:KY.Chr6.304	Zinc finger	ANISEED
Znf367	KH2013:KH.C5.64	KY2019:KY.Chr5.240	Zinc finger	ANISEED
Zic1/3/4/5/6	KH2013:KH.L59.1	KY2019:KY.Chr6.27	Zinc finger	HOMER
Znf143	KH2013:KH.C1.488	KY2019:KY.Chr1.1406	Zinc finger	HOMER
Ahr	KH2013:KH.C12.93	KY2019:KY.Chr12.869	bHLH	HOMER
Barx1/2.20	KH2013:KH.L41.33	KY2019:KY.Chr4.1242	Homeodomain	HOMER
Fli1.2	KH2013:KH.S1159.1	KY2019:KY.Chr4.801	Ets	HOMER
Fli1.3	KH2013:KH.S1159.1	KY2019:KY.Chr4.801	Ets	HOMER
Hand/1/2	KH2013:KH.C14.604	KY2019:KY.Chr14.359	bHLH	HOMER
Elf2	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.1	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Tcf7	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.1	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.2	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.3	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.4	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.5	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.6	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.7	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.8	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.9	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.10	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.11	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.12	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.13	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.14	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Gsc	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.1	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.2	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.3	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.4	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.5	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.1	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Hoxa2b	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.1	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.2	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Gsc.6	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.7	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.8	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.9	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.10	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.2	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.3	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.4	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.5	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.6	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Hoxa2b.3	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Nkx2-1/4.7	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.8	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Gsc.11	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.9	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Gsc.12	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.13	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.14	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.15	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.10	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Gsc.16	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.17	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.18	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.11	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.12	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.13	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.14	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.15	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Gsc.19	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Dmrt2/3	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.1	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dlx1	KH2013:KH.C7.346	KY2019:KY.Chr7.358	Homeodomain	CisBP
Gsc.20	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.21	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.22	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Tcf7.15	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Dmrt2/3.2	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Nkx2-1/4.16	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nr2f1/2/5	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Nr2f1/2/5.1	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Tcf7.16	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.17	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.18	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.19	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.20	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Dmrt2/3.3	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Gsc.23	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nr2f1/2/5.2	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Elf2.2	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.3	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.4	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.5	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Dmrt2/3.4	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.5	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.6	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.7	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.8	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.9	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.10	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.11	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.12	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Hoxa2b.4	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Rx/3	KH2013:KH.C1.685	KY2019:KY.Chr1.1582	Homeodomain	CisBP
Gsc.24	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Hoxa2b.5	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Rx/3.1	KH2013:KH.C1.685	KY2019:KY.Chr1.1582	Homeodomain	CisBP
Gsc.25	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.26	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Dlx1.1	KH2013:KH.C7.346	KY2019:KY.Chr7.358	Homeodomain	CisBP
Gsc.27	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.17	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Gsc.28	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.18	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nr2f1/2/5.3	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Nr2f1/2/5.4	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Tcf7.21	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Nkx2-1/4.19	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Tcf7.22	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.23	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.24	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.25	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Elf2.6	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.7	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.8	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.9	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.10	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.11	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.12	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Gsc.29	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.30	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.31	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.32	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Hoxa2b.6	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.7	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.8	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Gsc.33	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.34	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.35	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.36	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Hoxa2b.9	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.10	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Gsc.37	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.38	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.39	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.40	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.41	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.42	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.43	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Hoxa2b.11	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Nr2f1/2/5.5	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Nr2f1/2/5.6	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Nr2f1/2/5.7	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Nr2f1/2/5.8	KH2013:KH.L17.15	KY2019:KY.Chr8.1390	Nuclear receptor	CisBP
Tcf7.26	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.27	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.28	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.29	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.30	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.31	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.32	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.33	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.34	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.35	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.36	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.37	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.38	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.39	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.40	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.41	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.42	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.43	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.44	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.45	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.46	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.47	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.48	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.49	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.50	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.51	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.52	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.53	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.54	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.55	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.56	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.57	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.58	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.59	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.60	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.61	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.62	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.63	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.64	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.65	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.66	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.67	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.68	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.69	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.70	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.71	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.72	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.73	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.74	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.75	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.76	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.77	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.78	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.79	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.80	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.81	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.82	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.83	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.84	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.85	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Dmrt2/3.13	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.14	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.15	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Gsc.44	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.20	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Gsc.45	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.46	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.47	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.48	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.49	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.50	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.51	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.52	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Dlx1.2	KH2013:KH.C7.346	KY2019:KY.Chr7.358	Homeodomain	CisBP
Dlx1.3	KH2013:KH.C7.346	KY2019:KY.Chr7.358	Homeodomain	CisBP
Nkx2-1/4.21	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Tcf7.86	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.87	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.88	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.89	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.90	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.91	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.92	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.93	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.94	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.95	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.96	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.97	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Tcf7.98	KH2013:KH.C4.8	KY2019:KY.Chr4.941	Sox	CisBP
Dmrt2/3.16	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.17	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.18	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.19	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.20	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.21	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.22	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.23	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.24	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.25	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.26	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.27	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Dmrt2/3.28	KH2013:KH.C8.583	KY2019:KY.Chr8.251	DM	CisBP
Elf2.13	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.14	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.15	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.16	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.17	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.18	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.19	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.20	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.21	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.22	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.23	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.24	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.25	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.26	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.27	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Elf2.28	KH2013:KH.C14.247	KY2019:KY.Chr14.539	Ets	CisBP
Gsc.53	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.54	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.55	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.56	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.57	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.58	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.59	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.60	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Hoxa2b.12	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.13	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.14	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Hoxa2b.15	KH2013:KH.C1.1098	KY2019:KY.Chr1.2455	Homeodomain	CisBP
Gsc.61	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.62	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.63	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.64	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.65	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Gsc.66	KH2013:KH.C4.722	KY2019:KY.Chr4.686	Homeodomain	CisBP
Nkx2-1/4.22	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.23	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.24	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
Nkx2-1/4.25	KH2013:KH.C10.338	KY2019:KY.Chr10.964	Homeodomain	CisBP
